filename,image_width,image_height,object_name,xmin,ymin,xmax,ymax,bb_height,bb_width,object_class,1/Bh,1/Bw,1/Bd,Ch,Cw,Cb,distance_ft
100_01.jpg,4624,3472,Pedestrian,2519,1868,2594,2076,208,75,1,16.692307692307693,61.653333333333336,26.151862269866083,175.0,55.0,30.0,100.0
100_02.jpg,4624,3472,Pedestrian,2520,1874,2591,2082,208,71,1,16.692307692307693,65.12676056338029,26.309473318472463,175.0,55.0,30.0,100.0
100_03.jpg,4624,3472,Pedestrian,2525,1848,2584,2055,207,59,1,16.77294685990338,78.37288135593221,26.86439393618225,175.0,55.0,30.0,100.0
100_04.jpg,4624,3472,Pedestrian,2501,1834,2555,2045,211,54,1,16.454976303317537,85.62962962962963,26.54908693169379,175.0,55.0,30.0,100.0
100_05.jpg,4624,3472,Pedestrian,2612,1946,2677,2143,197,65,1,17.624365482233504,71.13846153846154,27.8741953659702,175.0,55.0,30.0,100.0
20_01.jpg,4624,3472,Pedestrian,2157,1346,2526,2346,1000,369,1,3.4720000000000004,12.531165311653117,5.424856550316445,175.0,55.0,30.0,20.0
20_02.jpg,4624,3472,Pedestrian,2154,1302,2535,2304,1002,381,1,3.4650698602794407,12.136482939632547,5.394075268298509,175.0,55.0,30.0,20.0
20_03.jpg,4624,3472,Pedestrian,2278,1389,2552,2410,1021,274,1,3.4005876591576882,16.875912408759124,5.469921933540953,175.0,55.0,30.0,20.0
20_04.jpg,4624,3472,Pedestrian,2258,1435,2539,2435,1000,281,1,3.4720000000000004,16.455516014234874,5.5667962226916705,175.0,55.0,30.0,20.0
20_05.jpg,4624,3472,Pedestrian,2271,1517,2546,2529,1012,275,1,3.430830039525692,16.814545454545453,5.513881908291634,175.0,55.0,30.0,20.0
40_01.jpg,4624,3472,Pedestrian,2215,1509,2404,2030,521,189,1,6.664107485604606,24.465608465608465,10.433366274587087,175.0,55.0,30.0,40.0
40_02.jpg,4624,3472,Pedestrian,2212,1528,2396,2048,520,184,1,6.676923076923077,25.130434782608695,10.483073280778921,175.0,55.0,30.0,40.0
40_03.jpg,4624,3472,Pedestrian,2258,1495,2389,2011,516,131,1,6.728682170542636,35.29770992366412,10.86163611552061,175.0,55.0,30.0,40.0
40_04.jpg,4624,3472,Pedestrian,2241,1555,2380,2079,524,139,1,6.6259541984732815,33.26618705035971,10.66622205719479,175.0,55.0,30.0,40.0
60_01.jpg,4624,3472,Pedestrian,2284,1661,2409,2003,342,125,1,10.15204678362573,36.992,15.88014449579252,175.0,55.0,30.0,60.0
60_02.jpg,4624,3472,Pedestrian,2286,1652,2408,1996,344,122,1,10.093023255813954,37.9016393442623,15.84249149775148,175.0,55.0,30.0,60.0
60_03.jpg,4624,3472,Pedestrian,2310,1664,2402,2002,338,92,1,10.272189349112427,50.26086956521739,16.50713710831164,175.0,55.0,30.0,60.0
60_04.jpg,4624,3472,Pedestrian,2307,1702,2402,2038,336,95,1,10.333333333333334,48.67368421052632,16.56032819057676,175.0,55.0,30.0,60.0
80_01.jpg,4624,3472,Pedestrian,2508,1503,2606,1765,262,98,1,13.251908396946563,47.183673469387756,20.67148013550895,175.0,55.0,30.0,80.0
80_02.jpg,4624,3472,Pedestrian,2504,1534,2586,1797,263,82,1,13.20152091254753,56.39024390243902,20.989753441042744,175.0,55.0,30.0,80.0
80_03.jpg,4624,3472,Pedestrian,2456,1620,2532,1878,258,76,1,13.457364341085272,60.8421052631579,21.499033932941384,175.0,55.0,30.0,80.0
80_04.jpg,4624,3472,Pedestrian,2440,1759,2515,2020,261,75,1,13.302681992337165,61.653333333333336,21.29310339053724,175.0,55.0,30.0,80.0
